id,prompt,intents
946,I think something's off today’s accidents around Jurong East just now?,"['incident_detection', 'spatio_temporal']"
947,Can you check recent breakdowns at AYE westbound just now?,['incident_detection']
948,Do we know if there's an incident around Toa Payoh without the minor events.,"['incident_detection', 'spatio_temporal']"
949,Any idea why travel time delays around Marina Bay and compare with yesterday.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
950,Pls show incident severity near KPE tunnels and check weather too.,"['incident_detection', 'incident_classification', 'spatio_temporal', 'meta_attributes']"
951,Not sure but looks like the spatio-temporal pattern around Woodlands checkpoint,['spatio_temporal']
952,Please pull up the speed drop near Sengkang excluding heavy traffic alerts.,['spatio_temporal']
953,Could you find out the congestion trend near KPE tunnels,"['spatio_temporal', 'traffic_impact']"
954,Do we know if there's an incident and compare with yesterday.,['incident_detection']
955,Can you check the spatio-temporal pattern around Punggol without the minor events.,['spatio_temporal']
956,Any idea why post-incident recovery around Punggol and show a quick chart.,"['causal_analysis', 'incident_detection', 'spatio_temporal', 'visualization']"
957,Pls show why traffic is slowing down around Woodlands checkpoint if possible.,"['causal_analysis', 'spatio_temporal']"
958,Help me understand whether it's due to roadwork around Marina Bay and check weather too.,"['spatio_temporal', 'meta_attributes']"
959,Not sure but looks like incident severity downtown CBD,"['incident_detection', 'incident_classification']"
960,Can you check whether it's due to roadwork downtown CBD without the minor events.,[]
961,I suspect any anomalies at expressway interchanges but don't forecast anything yet.,['traffic_anomaly']
962,Quick check: recent breakdowns at expressway interchanges,['incident_detection']
963,Not sure but looks like incident severity downtown CBD just now?,"['incident_detection', 'incident_classification']"
964,Quick check: why traffic is slowing down around Marina Bay just now?,"['causal_analysis', 'spatio_temporal']"
965,Is there any update on whether it's due to roadwork along Thomson Road but don't forecast anything yet.,[]
966,Pls show today’s accidents along the PIE if possible.,['incident_detection']
967,"Hey, can you check travel time delays downtown CBD right now?",['traffic_impact']
968,Show me the congestion trend along the PIE since morning?,['traffic_impact']
969,I think something's off today’s accidents near Changi if possible.,"['incident_detection', 'spatio_temporal']"
970,Help me understand accident clusters around Toa Payoh and compare with yesterday.,"['incident_detection', 'spatio_temporal']"
971,Help me understand the impact level at expressway interchanges if possible.,['traffic_impact']
972,Need info on incident severity downtown CBD and check weather too.,"['incident_detection', 'incident_classification', 'meta_attributes']"
973,Can you check the impact level along the PIE,['traffic_impact']
974,Can you check the volume spike and check weather too.,['meta_attributes']
975,I suspect traffic situation around Woodlands checkpoint but don't forecast anything yet.,['spatio_temporal']
976,Looks like incident severity and show a quick chart.,"['incident_detection', 'incident_classification', 'visualization']"
977,Looks like post-incident recovery around Jurong East today?,"['incident_detection', 'spatio_temporal']"
978,Not sure but looks like the volume spike along the PIE in simple terms pls.,[]
979,Could you find out recent breakdowns at AYE westbound without the minor events.,['incident_detection']
980,Not sure but looks like whether weather is affecting traffic around Punggol,"['spatio_temporal', 'meta_attributes']"
981,Can you check the congestion trend near Sengkang if possible.,"['spatio_temporal', 'traffic_impact']"
982,Is there any update on whether weather is affecting traffic central region right now?,['meta_attributes']
983,Help me understand post-incident recovery around Punggol since morning?,"['incident_detection', 'spatio_temporal']"
984,Pls show if there's an incident at expressway interchanges and compare with yesterday.,['incident_detection']
985,Looks like the congestion trend in the northern sector without the minor events.,"['spatio_temporal', 'traffic_impact']"
986,Looks like incident severity at expressway interchanges,"['incident_detection', 'incident_classification']"
987,Please pull up the speed drop around Punggol,['spatio_temporal']
988,Could you find out accident clusters near CTE Braddell and show a quick chart.,"['incident_detection', 'spatio_temporal', 'visualization']"
989,Could you find out if there's an incident in the northern sector and compare with yesterday.,"['incident_detection', 'spatio_temporal']"
990,Looks like incident severity but don't forecast anything yet.,"['incident_detection', 'incident_classification']"
991,Looks like why traffic is slowing down at AYE westbound but don't forecast anything yet.,['causal_analysis']
992,Quick check: forecast for the next hour near CTE Braddell right now?,"['traffic_forecasting', 'spatio_temporal']"
993,Can you check forecast for the next hour near KPE tunnels no visualisation needed.,"['traffic_forecasting', 'spatio_temporal', 'visualization']"
994,I think something's off the volume spike along Thomson Road and compare with yesterday.,[]
995,Quick check: whether it's due to roadwork downtown CBD and show a quick chart.,['visualization']
996,Can we confirm any anomalies around Toa Payoh for the last hour?,"['traffic_anomaly', 'spatio_temporal']"
997,Could you find out the speed drop near Sengkang and compare with yesterday.,['spatio_temporal']
998,Is there any update on if sensors are behaving weird near KPE tunnels and compare with yesterday.,"['traffic_anomaly', 'spatio_temporal']"
999,Not sure but looks like travel time delays central region right now?,['traffic_impact']
1000,Could you find out the volume spike,[]
